county_2,subCounty_2,ward_2,lhz,studyGroup,team_2
Samburu,Samburu North Sub County,Ndoto,1,2,1
Isiolo,Isiolo South,Ngaremara,2,1,1
Kitui,Mwingi North Sub County,Ngomeni,4,2,7
Kitui,Mwingi Central Sub- County,Nguni,4,2,7
Makueni,Kibwezi West  Sub County,Nguumo,4,2,7
Marsabit,North Horr,North Horr,1,1,4
Wajir,,Not specified1,2,1,7
Wajir,,Not specified2,2,1,7
Wajir,,Not specified3,2,1,7
Wajir,,Not specified4,2,1,7
Wajir,,Not specified5,2,1,7
Wajir,,Not specified6,2,1,7
Wajir,,Not specified7,2,1,7
Wajir,,Not specified8,2,1,7
Wajir,,Not specified9,2,1,7
Kitui,Kitui East Sub County,Nzambani,4,2,7
Marsabit,Moyale,Obbu,1,1,4
Isiolo,Isiolo North,Oldonyiro,2,1,1
Samburu,Samburu Central Sub County,Porro,1,2,1
Kwale,Msambweni Sub County,Ramisi,5,2,5
Baringo,Koibatek Sub County,Ravine,3,2,8
Baringo,Tiaty,Ribkwo,3,1,8
Baringo,Baringo Central,Sacho,3,1,8
Marsabit,Saku,Sagante,1,1,4
Baringo,Baringo North,Saimo-soi,3,1,8
Baringo,Baringo North Sub County,Saimo/soi,3,2,8
Baringo,Baringo North Sub County,Saimoi/kipsaraman,3,2,8
Garissa,Balambala,Sankuri,2,1,7
Kilifi,Kilifi South Sub County,Shimo La Tewa,5,2,9
Baringo,Tiaty,Silale,3,1,8
Marsabit,MOYALE,SOLOLO,1,2,4
Turkana,Turkana West,Songkot,1,1,6
Samburu,Central,Suguta Marmar,1,1,1
Baringo,Tiaty,Tangulbei,3,1,8
Baringo,Tiaty Sub County,Tangulbei/korossi,3,2,8
Wajir,Tarbaj Sub County,Tarbaj,2,2,7
Baringo,Baringo Central,Tenges,3,1,8
Baringo,Tiaty,Tirioko,3,1,8
Kitui,Mwingi North Sub County,Tseikuru,4,2,7
Kwale,Matuga Sub County,Tsimba Golini,5,2,5
Marsabit,NORTH HORR,TURBI,1,2,4
Makueni,Kaiti  Sub County,Ukia ward,4,2,7
Marsabit,Moyale,Uran,1,1,4
Isiolo,Isiolo Sub County,WABERA,2,2,1
Garissa,Garissa Sub County,Waberi,2,2,7
Wajir,Wajir East Sub County,Wagberi,2,2,7
Samburu,Samburu East Sub County,Wamba north,1,2,1
Samburu,Samburu East Sub County,Waso,1,2,1
Tana River,Galole Sub County,Wayu,2,2,9
Makueni,Makueni  Sub County,Wote,4,2,7
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
